Time Distance Angle
3,340027 15,0333 0
3,23999 15,0333 0
59,72003 347,3394 0
41,15997 196,4748 0
46,32001 277,7805 0
66,38 331,6052 0
14,12 56,0357 0
39,58002 148,0608 0
52,70001 290,0848 0
11,64001 78,40918 0
40,44006 236,6984 0
16,92004 99,00505 0
60,35999 277,9532 0
38,43994 238,2538 0
37,16003 197,8535 0
31,18005 148,6607 0
3,220093 15,0333 0
41,33997 308,519 0
34,07996 176,7767 0
32,83997 153,3949 0
44,03992 239,4201 0
8,880005 56,32051 0
41,47998 304,6309 0
24,59998 184,4809 0
4,419922 26,90725 0
3,219971 15,0333 0
32,82007 244,0125 0
8,840088 58,31852 0
30,12 211,2522 0
15,66003 114,2366 0
32,80005 235,6141 0
21,45996 162,3638 0
10,93994 73,00685 0
29,68005 162,7329 0
35,33997 180,8535 0
38,38 73,00685 0
46,18005 159,9065 0
22,52002 125,706 0
29,88 113,8771 0
45,83997 258,9451 0
26,42004 77,98717 0
56,16003 240,9191 0
58,1001 225,0555 0
23,67993 156,1602 0
26,95996 97,20082 0
33,26001 239,1694 0
9,579834 60,7289 0
34,64014 207,562 0
